"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.071366680E1,4.300190244E1,-7.879077042E1,1.789437939E2,1.442320890E2,1.430772598E0,1.451463173E2,7.220268177E-2,4.702221804E0,3.422520582E0,-1.000000000E0
4.171366918E1,4.300189200E1,-7.879076482E1,1.785371062E2,1.438254215E2,1.269499975E0,1.516674358E2,7.342019910E-2,4.704330172E0,3.419622006E0,-1.000000000E0
4.271367240E1,4.300188639E1,-7.879075197E1,1.781797500E2,1.434680787E2,9.559674829E-1,1.427698382E2,7.448522382E-2,4.705149266E0,3.418494905E0,-1.000000000E0
4.371367455E1,4.300188834E1,-7.879073915E1,1.782818846E2,1.435702130E2,6.274885334E-1,1.059157369E2,7.600938168E-2,4.710577260E0,3.411011421E0,-1.000000000E0
4.471367800E1,4.300190139E1,-7.879073340E1,1.777548776E2,1.430431840E2,8.345460383E-1,5.999975647E1,7.788687514E-2,4.716202319E0,3.403229748E0,-1.000000000E0
4.571368170E1,4.300191611E1,-7.879072211E1,1.772532351E2,1.425415178E2,1.398711410E0,4.943382556E1,7.914592371E-2,4.723524865E0,3.393059074E0,-1.000000000E0
4.671368504E1,4.300192643E1,-7.879071572E1,1.770373913E2,1.423256569E2,1.202347365E0,4.304457049E1,8.051071482E-2,4.721924951E0,3.395285230E0,-1.000000000E0
4.771368992E1,4.300193777E1,-7.879070930E1,1.768814135E2,1.421696603E2,1.254977157E0,3.706182136E1,8.245600172E-2,4.729256560E0,3.385065645E0,-1.000000000E0
4.871369410E1,4.300195434E1,-7.879070164E1,1.772424936E2,1.425307124E2,1.492792333E0,2.876551062E1,8.355370018E-2,4.740460206E0,3.369358109E0,-1.000000000E0
4.971369886E1,4.300196413E1,-7.879069987E1,1.769205318E2,1.422087334E2,1.190395402E0,2.148911839E1,8.501896695E-2,4.729201458E0,3.385142627E0,-1.000000000E0
5.071370363E1,4.300197699E1,-7.879069596E1,1.768635025E2,1.421516819E2,1.265117178E0,1.791788480E1,8.659485249E-2,4.734816805E0,3.377283946E0,-1.000000000E0
5.171370912E1,4.300199109E1,-7.879069400E1,1.767636937E2,1.420518482E2,1.353263252E0,1.423109010E1,8.789136552E-2,4.739051090E0,3.371339763E0,-1.000000000E0
